Change Date,Ticker
2011-11-22,CBE
2011-12-12,GAS
2011-12-16,DLTR
2011-12-16,PRGO
2011-12-16,BWA
2011-12-20,TRIP
2011-12-30,WPX
2012-03-13,CCI
2012-04-03,FOSL
2012-04-30,PSX
2012-05-24,KMI
2012-05-24,ALXN
2012-06-05,LRCX
2012-06-28,MNST
2012-06-29,STX
2012-07-30,VAL
2012-09-04,LYB
2012-09-28,PNR
2012-09-28,ADT
2012-10-01,KHC
2012-10-04,PETM
2012-11-30,DG
2012-12-11,GRMN
2012-12-21,APTV
2013-01-01,ABBV
2013-02-13,PVH
2013-04-30,REGN
2013-05-08,MAC
2013-05-23,KSU
2013-06-06,GM
2013-06-21,ZTS
2013-06-28,NWSA
2013-07-08,NLSN
2013-09-10,DAL
2013-09-20,AME
2013-09-20,VRTX
2013-10-28,RIG
2013-11-12,CPRI
2013-11-29,ALLE
2013-12-09,GGP
2013-12-20,META
2013-12-20,MHK
2013-12-20,ADS
2014-01-23,TSCO
2014-03-21,GMCR
2014-04-01,ESS
2014-04-03,GOOG
2014-04-30,UA.A
2014-05-01,NAVI
2014-05-07,AVGO
2014-06-20,XEC
2014-06-30,AMG
2014-07-01,MLM
2014-08-06,DISCK
2014-08-18,MNK
2014-09-19,UHS
2014-09-19,URI
2014-11-04,LVLT
2014-12-04,RCL
2015-01-26,ENDP
2015-01-26,HCA
2015-03-11,SWKS
2015-03-17,HSIC
2015-03-20,SLG
2015-03-20,HBI
2015-03-20,AAL
2015-03-20,EQIX
2015-04-06,O
2015-06-11,QRVO
2015-06-30,BXLT
2015-06-30,JBHT
2015-07-01,CPGX
2015-07-08,AAP
2015-07-17,PYPL
2015-07-28,SIG
2015-08-28,ATVI
2015-09-02,UAL
2015-09-18,NWS
2015-09-18,FOX (Old)
2015-09-18,CMCSK
2015-10-07,VRSK
2015-11-02,HPE
2015-11-17,SYF
2015-11-18,ILMN
2015-11-30,CSRA
2015-12-28,CHD
2016-01-04,WTW
2016-01-15,EXR
2016-01-29,FRT
2016-01-29,CFG
2016-02-19,CXO
2016-03-03,AWK
2016-03-04,UDR
2016-03-29,CNC
2016-03-29,HOLX
2016-04-01,FL
2016-04-14,UA
2016-04-15,ULTA
2016-04-22,GPN
2016-05-02,AYI
2016-05-12,ALK
2016-05-17,DLR
2016-05-20,LKQ
2016-05-27,AJG
2016-06-02,TDG
2016-06-23,FBIN
2016-06-30,ALB
2016-06-30,LNT
2016-07-01,FTV
2016-09-02,MTD
2016-09-07,CHTR
2016-09-22,COO
2016-09-30,COTY
2016-11-01,HWM
2016-12-01,EVHC
2016-12-01,MAA
2017-01-04,IDXX
2017-02-27,INCY
2017-02-28,CBOE
2017-03-01,REG
2017-03-12,DISH
2017-03-15,SNPS
2017-03-19,AMD
2017-03-19,ARE
2017-03-19,RJF
2017-04-03,DXC
2017-04-04,IT
2017-06-01,INFO
2017-06-18,ANSS
2017-06-18,ALGN
2017-06-18,HLT
2017-06-18,EG
2017-07-25,DRE
2017-07-25,AOS
2017-07-25,PKG
2017-07-25,RMD
2017-07-25,MGM
2017-08-06,BHF
2017-08-28,IQV
2017-08-31,SBAC
2017-09-17,CDNS
2017-10-12,NCLH
2018-01-02,HII
2018-03-06,IPGP
2018-03-18,TTWO
2018-03-18,NKTR
2018-03-18,SIVB
2018-04-03,MSCI
2018-05-30,ABMD
2018-06-04,EVRG
2018-06-06,TWTR
2018-06-15,BR
2018-06-15,HFC
2018-06-19,CPAY
2018-06-29,CPRT
2018-08-27,ANET
2018-09-14,WCG
2018-09-28,ROL
2018-10-10,FTNT
2018-11-05,KEYS
2018-11-12,JKHY
2018-11-30,LW
2018-11-30,MXIM
2018-11-30,FANG
2018-12-21,CE
2018-12-31,FRC
2019-01-17,TFX
2019-02-14,ATO
2019-02-26,WAB
2019-03-19,FOX
2019-03-19,FOXA
2019-04-01,DOW
2019-05-31,CTVA
2019-06-06,AMCR
2019-06-28,MKTX
2019-07-12,TMUS
2019-08-08,IEX
2019-08-08,LDOS
2019-09-20,CDW
2019-09-25,NVR
2019-10-02,LVS
2019-11-20,NOW
2019-12-04,WRB
2019-12-06,ODFL
2019-12-20,LYV
2019-12-20,ZBRA
2019-12-20,STE
2020-01-27,PAYC
2020-03-02,IR
2020-04-02,OTIS
2020-04-02,CARR
2020-05-11,DPZ
2020-05-11,DXCM
2020-05-21,WST
2020-06-19,BIO
2020-06-19,TDY
2020-06-19,TYL
2020-09-18,CTLT
2020-09-18,TER
2020-09-18,ETSY
2020-10-06,POOL
2020-10-08,VNT
2020-12-18,TSLA
2021-01-06,ENPH
2021-01-20,TRMB
2021-02-11,MPWR
2021-03-19,CZR
2021-03-19,GNRC
2021-03-19,PENN
2021-03-19,NXPI
2021-04-19,PTC
2021-05-13,CRL
2021-06-02,OGN
2021-07-20,MRNA
2021-08-27,TECH
2021-09-17,MTCH
2021-09-17,BRO
2021-09-17,DAY
2021-12-13,EPAM
2021-12-17,FDS
2021-12-17,SEDG
2021-12-17,SBNY
2022-02-02,CEG
2022-02-14,NDSN
2022-03-01,MOH
2022-04-01,CPT
2022-06-07,VICI
2022-06-17,KDP
2022-06-17,ON
2022-09-16,CSGP
2022-09-16,INVH
2022-09-30,EQT
2022-09-30,PCG
2022-10-11,TRGP
2022-10-31,ACGL
2022-12-16,MBC
2022-12-20,FSLR
2022-12-21,STLD
2023-01-03,GEHC
2023-03-14,BG
2023-03-14,PODD
2023-03-17,FICO
2023-05-03,AXON
2023-06-19,PANW
2023-08-24,KVUE
2023-09-15,ABNB
2023-09-15,BX
2023-09-29,VLTO
2023-10-17,HUBB
2023-10-17,LULU
2023-12-15,BLDR
2023-12-15,JBL
2023-12-15,UBER
2024-03-15,SMCI
2024-03-15,DECK
2024-03-29,SOLV
2024-04-01,GEV
2024-05-07,VST
2024-06-21,KKR
2024-06-21,GDDY
2024-06-21,CRWD
2024-09-20,PLTR
2024-09-20,ERIE
2024-09-20,DELL
2024-09-27,AMTM
