Change Date,Ticker
2007-09-24,FDC
2007-09-26,MXIM
2007-09-28,NCR
2007-10-01,SLR
2007-10-05,ASN
2007-10-09,TXU
2007-10-24,HLT
2007-10-25,AV
2007-10-26,BOL
2007-11-08,HCR
2007-11-15,TEK
2007-11-16,AT (All)
2007-12-13,DJ
2007-12-20,TRCO
2007-12-28,TIN
2007-12-31,SNV
2008-01-28,CZR (Har)
2008-03-28,CC (Circ)
2008-03-28,CBH
2008-06-02,BSC
2008-06-06,TT (Tra)
2008-06-10,AMBC
2008-06-20,BC
2008-06-20,OMX (Old)
2008-06-30,CFC
2008-06-30,SSP
2008-07-17,CB
2008-07-30,IHRT
2008-08-20,IAC
2008-08-26,EDS
2008-09-10,FMCC
2008-09-10,FNMA
2008-09-16,LEHMQ
2008-09-22,SAF
2008-09-29,COOP
2008-09-29,WEN
2008-10-03,WWY
2008-10-21,DDS
2008-10-30,MTG
2008-11-05,TEX
2008-11-10,UIS
2008-11-12,GGP
2008-11-13,ASH
2008-11-13,HPC
2008-11-18,BUD (Anh)
2008-11-21,ABI
2008-12-01,KATE
2008-12-04,AW
2008-12-18,RIG
2008-12-22,BRL
2008-12-31,WB
2008-12-31,NCC
2008-12-31,MER
2009-01-05,UST
2009-01-29,SOV
2009-02-25,WFT
2009-03-03,JNY
2009-03-03,ACAS
2009-03-16,JCI
2009-03-26,NE
2009-03-27,SITC
2009-04-01,ROH
2009-06-02,GM
2009-06-04,COV
2009-06-25,TEL
2009-06-30,EQ (Emb)
2009-06-30,TT
2009-07-24,CIT
2009-08-18,CTX
2009-08-31,MTW
2009-09-08,CBE
2009-10-15,WYE
2009-11-03,SGP
2009-12-18,CVG
2009-12-18,KBH
2009-12-18,DYN
2009-12-18,CIEN
2009-12-18,MBI
2009-12-22,VAL
2010-01-27,JAVA
2010-02-05,ACS
2010-02-12,BNI
2010-02-26,PBG
2010-02-26,IMS
2010-03-12,BDK
2010-04-29,BJS
2010-06-28,XTO
2010-06-30,STR
2010-07-14,MIL
2010-08-26,SII
2010-11-16,PTV
2010-12-17,NYT
2010-12-17,ODP
2010-12-17,KODK
2010-12-17,KG
2011-01-03,MDP
2011-01-14,QLGC
2011-02-25,AYE
2011-02-28,MFE
2011-03-31,Q (Qwe)
2011-04-01,GENZ
2011-04-27,NOVL
2011-06-01,MEE
2011-06-30,RSH
2011-07-05,MI
2011-09-23,NSM (Nat)
2011-10-14,CEPH
2011-10-31,ITT
2011-11-22,JNS
2011-12-12,GAS (Nico)
2011-12-16,SUNEQ
2011-12-16,MWW
2011-12-16,AKS
2011-12-20,TLAB
2011-12-30,CPWR
2012-03-13,CEG (Old)
2012-04-03,MHS
2012-04-30,SVU
2012-05-24,MMI (Mot)
2012-05-24,EP
2012-06-05,NVLS (Nove)
2012-06-28,HSH
2012-06-29,PGN
2012-07-30,GR
2012-09-04,SHLD
2012-09-28,ATGE
2012-09-28,LXK
2012-10-01,ANR
2012-10-04,SUN (Sun)
2012-11-30,CBE
2012-12-11,RRD
2012-12-21,TIE
2013-01-01,FHI
2013-02-13,BIG
2013-04-30,TMUS
2013-05-08,CVH
2013-05-23,DF
2013-06-06,HNZ
2013-06-21,FHN
2013-06-28,APOL
2013-07-08,S
2013-09-10,BMC
2013-09-20,LDOS
2013-09-20,AMD
2013-10-28,DELL
2013-11-12,NYX
2013-11-29,JCP
2013-12-09,MOLX
2013-12-20,TER
2013-12-20,VIAV
2013-12-20,ANF
2014-01-23,LIFE (Tech)
2014-03-21,WPX
2014-04-01,CLF
2014-04-30,BEAM (Sun)
2014-05-01,SLM
2014-05-07,LSI (LSI)
2014-06-20,IGT (Old)
2014-06-30,FRX
2014-07-01,X
2014-08-18,RDC
2014-09-19,GHC
2014-09-19,BTU
2014-11-04,JBL
2014-12-04,BMS
2015-01-26,COV
2015-01-26,SWY
2015-03-11,PETM
2015-03-17,CFN
2015-03-20,AVP
2015-03-20,NBR
2015-03-20,DNR
2015-03-20,AGN (Old)
2015-04-06,WIN
2015-06-11,LO
2015-06-30,TEG
2015-06-30,QEP
2015-07-01,ATI
2015-07-08,FDO
2015-07-17,NE
2015-07-28,DTV
2015-08-28,PLL
2015-09-02,HSP
2015-10-07,JOY
2015-11-02,HCBK
2015-11-17,GNW
2015-11-18,SIAL
2015-11-30,CSC
2015-12-11,CMCSK
2015-12-28,ALTR (Alt)
2016-01-04,FOSL
2016-01-15,CB (Old)
2016-01-29,PCP
2016-01-29,BRCM
2016-02-19,PCL
2016-03-03,CNX
2016-03-04,GMCR
2016-03-29,VAL
2016-03-29,POM
2016-04-01,CAM
2016-04-15,THC
2016-04-22,GME
2016-05-02,ADT
2016-05-12,SNDK
2016-05-17,TWC
2016-05-20,ARG
2016-05-27,CCE
2016-06-02,BXLT
2016-06-23,RMG
2016-06-30,GAS
2016-06-30,TE
2016-07-05,CPGX
2016-09-02,JCI (Old)
2016-09-07,EMC
2016-09-22,HOT
2016-09-30,DO
2016-11-01,AA
2016-12-01,LM
2016-12-01,OI
2017-01-04,STJ
2017-02-27,SE
2017-02-28,PBI
2017-03-01,ENDP
2017-03-12,LLTC
2017-03-15,HAR
2017-03-19,URBN
2017-03-19,FTR
2017-03-19,FSLR
2017-04-03,SWN
2017-04-04,DNB
2017-06-01,TGNA
2017-06-18,TDC
2017-06-18,YHOO
